dhID,chiID,unique_id,CandName,party,precinctsreporting,votecount,precinctstotal,totalvotes,precinctsreportingpct,votecount_dupage,votepct,totalvotes_dupage,precinctsreportingpct_kane,votecount_kane,votepct_kane,totalvotes_kane,precinctsreportingpct_lake,votecount_lake,votepct_lake,totalvotes_lake,precinctsreportingpct_mch,votecount_mch,votepct_mch,totalvotes_mch,precinctsreportingpct_will,votecount_will,votepct_will,totalvotes_will,precinctsreportingpct_chi,votecount_chi,votepct_chi,totalvotes_chi,precinctsreportingpct_statewide,votecount_statewide,votepct_statewide,totalvotes_statewide
1,0010001,polid-1746,Hillary Clinton,Dem,3633,607816,3668,1134932,100.0,58870,0.474173,124153,100.0,24063,0.434664,55360,100.0,37666,0.503018,74880,58.02,9766,0.384897,25373,100.0,41651,0.471085,88415,0.9830836152730787,362161.0,0.5357609379045083,675975.0,98.69,989238,0.503533,1964595
1,0010006,polid-1445,Bernie Sanders,Dem,3633,517549,3668,1134932,100.0,64876,0.522549,124153,100.0,31085,0.561507,55360,100.0,36985,0.493924,74880,58.02,15502,0.610964,25373,100.0,46305,0.523723,88415,0.9830836152730787,307121.0,0.45433780835090054,675975.0,98.69,959111,0.488198,1964595
2,0163003,polid-8639,Donald Trump,GOP,3633,122865,3668,301670,100.0,48930,0.345027,141815,100.0,21605,0.359849,60039,100.0,24680,0.358611,68821,58.02,16514,0.409411,40336,100.0,38507,0.464007,82988,0.9830836152730787,32447.0,0.38640261039394086,83972.0,98.69,540774,0.388794,1390901
2,0163004,polid-61815,Ted Cruz,GOP,3633,67542,3668,301670,100.0,35119,0.24764,141815,100.0,16838,0.280451,60039,100.0,17719,0.257465,68821,58.02,10456,0.259223,40336,100.0,21363,0.257423,82988,0.9830836152730787,17512.0,0.2085457057114276,83972.0,98.69,423814,0.304705,1390901
2,0163005,polid-53044,Marco Rubio,GOP,3633,30967,3668,301670,100.0,14210,0.100201,141815,100.0,5946,0.099036,60039,100.0,6178,0.089769,68821,58.02,3797,0.094134,40336,100.0,6783,0.081735,82988,0.9830836152730787,10354.0,0.12330300576382604,83972.0,98.69,118711,0.085348,1390901
2,0163010,polid-36679,John Kasich,GOP,3633,74158,3668,301670,100.0,40906,0.288446,141815,100.0,14400,0.239844,60039,100.0,19090,0.277386,68821,58.02,8557,0.212143,40336,100.0,14831,0.178713,82988,0.9830836152730787,21394.0,0.2547754013242509,83972.0,98.69,273314,0.196501,1390901
22,0011002,polid-51631,Tammy Duckworth,Dem,3633,633136,3668,1052979,100.0,87625,0.758619,115506,100.0,37345,0.722676,51676,100.0,49444,0.716715,68987,58.02,17375,0.739771,23487,100.0,57705,0.685308,84203,0.9830836152730787,356900.0,0.5736263665615527,622182.0,98.69,1162597,0.641615,1811986
22,0011001,polid-64570,Andrea Zopp,Dem,3633,284077,3668,1052979,100.0,19202,0.166242,115506,100.0,9739,0.188463,51676,100.0,13367,0.193761,68987,58.02,4163,0.177247,23487,100.0,16776,0.199233,84203,0.9830836152730787,191586.0,0.3079259766434902,622182.0,98.69,437689,0.241552,1811986
22,0011003,polid-64571,Napoleon Harris,Dem,3633,135766,3668,1052979,100.0,8679,0.075139,115506,100.0,4592,0.088861,51676,100.0,6176,0.089524,68987,58.02,1949,0.082982,23487,100.0,9722,0.115459,84203,0.9830836152730787,73696.0,0.1184476567949571,622182.0,98.69,211700,0.116833,1811986
23,0164002,polid-1277,Mark Kirk,GOP,3633,194645,3668,271501,100.0,94099,0.710637,132415,100.0,36957,0.656546,56290,100.0,47341,0.735246,64388,58.02,24192,0.642106,37676,100.0,52518,0.671328,78230,0.9830836152730787,51627.0,0.715759264650834,72129.0,98.69,899604,0.707086,1272270
23,0164001,polid-64572,James Marter,GOP,3633,76856,3668,271501,100.0,38316,0.289363,132415,100.0,19333,0.343454,56290,100.0,17047,0.264754,64388,58.02,13484,0.357894,37676,100.0,25712,0.328672,78230,0.9830836152730787,20502.0,0.28424073534916605,72129.0,98.69,372666,0.292914,1272270
