dhID,chiID,unique_id,CandName,party,precinctsreportingpct,votepct,precinctsreportingpct_Ohio,votepct_Ohio,precinctsreportingpct_NC,votepct_NC,precinctsreportingpct_Missouri,votepct_Missouri,precinctsreportingpct_Florida,votepct_Florida
1,0010001,polid-1746,Hillary Clinton,Dem,25.75,0.529311,28.25,0.596183,38.94,0.559016,8.81,0.501071,94.23,0.644932
1,0010006,polid-1445,Bernie Sanders,Dem,25.75,0.461695,28.25,0.393372,38.94,0.398677,8.81,0.477949,94.23,0.332013
2,0163003,polid-8639,Donald Trump,GOP,25.39,0.403591,28.15,0.365259,38.17,0.401505,8.81,0.421083,90.12,0.456891
2,0163004,polid-61815,Ted Cruz,GOP,25.39,0.24849,28.15,0.146063,38.17,0.362772,8.81,0.389062,90.12,0.171081
2,0163005,polid-53044,Marco Rubio,GOP,25.39,0.100115,28.15,0.033782,38.17,0.085338,8.81,0.067876,90.12,0.269737
2,0163010,polid-36679,John Kasich,GOP,25.39,0.225398,28.15,0.434507,38.17,0.124112,8.81,0.087332,90.12,0.067595
