dhID,chiID,unique_id,CandName,party
1,0010001,polid-1746,Hillary Clinton,Dem
1,0010006,polid-1445,Bernie Sanders,Dem
2,0163003,polid-8639,Donald Trump,GOP
2,0163004,polid-61815,Ted Cruz,GOP
2,0163005,polid-53044,Marco Rubio,GOP
2,0163010,polid-36679,John Kasich,GOP
