dhID,chiID,unique_id,CandName,party
1,0010001,polid-1746,Hillary Clinton,Dem
1,0010006,polid-1445,Bernie Sanders,Dem
2,0163003,polid-8639,Donald Trump,GOP
2,0163004,polid-61815,Ted Cruz,GOP
2,0163005,polid-53044,Marco Rubio,GOP
2,0163010,polid-36679,John Kasich,GOP
22,0011002,polid-51631,Tammy Duckworth,Dem
22,0011001,polid-64570,Andrea Zopp,Dem
22,0011003,polid-64571,Napoleon Harris,Dem
23,0164002,polid-1277,Mark Kirk,GOP
23,0164001,polid-64572,James Marter,GOP
